id,field_model,parent_id,field_member_of,field_weight,title,file,field_description,field_resource_type,field_subject_general,field_identifier,field_edtf_date_issued,field_linked_agent,field_publisher,field_rights,media_use_tid,field_viewer_override,media:audio:field_track,media:video:field_track,thumbnail,service,fits,extracted,Supplemental_PDF
41,Page,24,,17,Page 17 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_017.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_017.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_017.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_017.jp2.fits.xml,,
42,Page,24,,18,Page 18 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_018.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_018.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_018.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_018.jp2.fits.xml,,
43,Page,24,,19,Page 19 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_019.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_019.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_019.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_019.jp2.fits.xml,,
44,Page,24,,20,Page 20 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_020.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_020.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_020.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_020.jp2.fits.xml,,
45,Page,24,,21,Page 21 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_021.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_021.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_021.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_021.jp2.fits.xml,,
46,Page,24,,22,Page 22 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_022.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_022.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_022.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_022.jp2.fits.xml,,
47,Page,24,,23,Page 23 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_023.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_023.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_023.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_023.jp2.fits.xml,,
48,Page,24,,24,Page 24 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_024.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_024.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_024.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_024.jp2.fits.xml,,
49,Page,24,,25,Page 25 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_025.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_025.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_025.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_025.jp2.fits.xml,,
50,Page,24,,26,Page 26 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_026.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_026.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_026.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_026.jp2.fits.xml,,
51,Page,24,,27,Page 27 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_027.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_027.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_027.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_027.jp2.fits.xml,,
